Name,Internal URL,External URL
"waragraph","","https://chfi.github.io/waragraph/"
"Taxonium","","https://taxonium.org/"
"VRPG","","https://github.com/codeatcg/VRPG"
"ABrowse (genome browser)","","null"
"clonifier","","https://dlesl.github.io/clonifier/"
"GeCoViz","","https://gecoviz.cgmlab.org/"
"Prosite/MyDomains","","https://prosite.expasy.org/mydomains"
"PhenoGram","","https://ritchielab.org/software/phenogram-downloads"
"GenomeSyn","","https://github.com/jmsong2/GenomeSyn"
"UTGB (University of Tokyo Genome Browser)","","http://utgenome.org/"
"TreeBrowser (MicrobesOnline)","","http://www.microbesonline.org/cgi-bin/treeBrowse.cgi?locus=17761"
"PSAT","","http://www.nwrce.org/psat"
"GECO","","http://bioinfo.mikrobio.med.uni-giessen.de/geco2/GecoMainServlet"
"CoolBox","","null"
"SequenceServer","","https://sequenceserver.com/"
"SyntenyPortal","","http://bioinfo.konkuk.ac.kr/synteny_portal/"
"Sybil","","http://sybil.sourceforge.net/"
"SynBrowse","","null"
"PFAM generate_graphic","","https://pfam.xfam.org/generate_graphic"
"IBS (Illustrator for Biological Sequences)","","http://ibs.biocuckoo.org/"
"Cinteny","","http://cinteny.cchmc.org/"
"SimpleSynteny","","https://www.dveltri.com/simplesynteny/about.html"
"StainedGlass","","null"
"CGView","","http://cgview.ca/"
"RegulomeExplorer","","http://explorer.cancerregulome.org/all_pairs/?dataset=TCGA_ACC"
"Ideogram viewer","","https://bioinformatics.mdanderson.org/public-software/ideogramviewer/"
"PGV (pangenome tool)","","https://github.com/ucrbioinfo/PGV"
"nightingale/protvista","","https://ebi-webcomponents.github.io/nightingale/#/msa"
"vega","","http://vega.archive.ensembl.org/Homo_sapiens/Location/Chromosome?r=6-QBL"
"Aquaria","","http://aquaria.ws/Q9HD67/5i0i/A"
"gingko","","http://qb.cshl.edu/ginkgo/?q=/9EiUttUP0CBHs3WnuBa0"
"AnnoJ","","https://brainome.ucsd.edu/howto_annoj.html"
"Shasta","","https://chanzuckerberg.github.io/shasta/ComputationalMethods.html#ReadGraph"
"PopSV","","https://github.com/jmonlong/PopSV/blob/master/3-Visualization.md"
"clinker","","https://github.com/gamcil/clinker"
"JGI/IMG","","https://img.jgi.doe.gov/"
"Gview","","https://server.gview.ca/examples"
"VIVA","","https://www.biorxiv.org/content/10.1101/589879v1.full.pdf"
"UCSC Xena","","https://xena.ucsc.edu/"
"pViz","","https://github.com/Genentech/pviz"
"GenomePaint","","https://genomepaint.stjude.cloud/"
"ProteinPaint","","https://pecan.stjude.cloud/proteinpaint"
"Protael","","http://sanshu.github.io/protaelweb/"
"RPAN (3kricedb)","","http://cgm.sjtu.edu.cn/3kricedb/visualization/?tracks=DNA%2Cgene%2CPF"
